ISBN,Title,Ownership,Category,SubCategory,HeHasRead
978-0-7869-6601-1,Dungeons & Dragons Volo's Guide to Monsters,His,Games,,1
978-0-7869-6611-0,Dungeons & Dragons Xanathar's Guide to Everything,His,Games,,1
978-0-262-03885-0,You'll see this message when it is too late,His,Cybersecurity,,1
978-1-4926-0323-8,Spam Nation,His,Cybersecurity,,0
978-0-7704-3619-3,Countdown to Zero Day,His,Cybersecurity,,0
978-0-8389-1802-9,Foundations of Information Policy,His,Public Policy,,1
978-981-4382-16-9,Singapore: A Biography,His,History,,0
978-0-8021-4594-9,Worm,His,Cybersecurity,,0
0-8493-1489-5,The Laws of Software Process,His,Computer Science,,0
978-0-316-49197-6,The Soul of a New Machine,His,Technology,,0
978-1-59028-257-1,Problem solving with algorithms and data structures using Python,His,Computer Science,,0
978-0-12-800218-6,Guerrilla Analytics,His,Data Analytics,,1
978-0-5521-7445-9,The Power of Moments,His,Leadership,,1
978-1-4221-2103-0,The Origin of Wealth,His,Economics,,0
978-0-19-023903-9,China's Economy,His,Economics,China,0
978-0-14-029672-3,The Truth About Markets,His,Economics,,0
978-1-892005-28-1,Nonviolent Communication,His,Management,,1
978-1-491-97389-9,The Manager's Path,His,Management,,1
978-1-107-18612-5,Principles of Database Management,His,Computer Science,,0
978-1-4842-2157-0,Managing Humans,His,Management,,0
978-0-8048-3520-6,Book of Five Rings,His,Philosophy,,1
0-674-00991-6,The Making of Modern Japan,His,History,,0
978-0-470-62074-8,Flawless Consulting,His,Management,Coaching,1
978-1-4221-8739-5,Playing to Win,His,Strategy,,1
978-1-4221-1736-1,Immunity to Change,His,Leadership,Change Management,1
978-1-84-794032-2,Switch,His,Leadership,Change Management,1
978-2-960133-50-9,Reinventing organizations,His,Leadership,,0
978-1-77327-059-3.Flat Army,His,Leadership,,1,
978-1-250-19577-7,The Dichotomy of Leadership,His,Leadership,,1
978-0-241-33414-0,Becoming,His,Autobiography,,0
978-0-06-287478-8,It Doesn't Have to be Crazy at Work,His,Business,,1
978-1-101-87129-4,Bitwise,His,Computer Science,,1
978-1-61689-532-7,Dear Data,His,Data Visualisation,,0
978-0-7869-6560-1,Dungeons & Dragons Player's Handbook,His,Games,,1
978-0-7869-6562-5,Dungeons & Dragons Dungeon Master's Guide,His,Games,,1
978-0-7869-6561-8,"Dungeons & Dragons Monster Manual,His,Games",,1,,
978-0-8230-1488-0,Manga for the Beginner chibis,His,Manga,,0
978-0-8230-3083-5,Manga for the Beginner,His,Manga,,0
978-0-8230-9533-9,"Drawing Manga - Animals, Chibis, and other adorable creatures",His,Manga,,0
1-59164-026-1,Coaching the 3-4-1-2 and 4-2-3-1,His,Soccer,,1
0-9626834-2-6,The Art of Soccer,His,Soccer,,1
978-1-59257-437-7,The Complete Idiot’s Guide to Music Theory,His,Music,,0
0-7935-9421-9,"Teach Yourself to Read Music - A Guide to Pop, Rock, Blues and Jazz Singers",His,Music,,0
978-0-321-47404-9,The Digital Photography Book Volume 1,His,Photography,,1
978-0-321-52476-8,The Digital Photography Book Volume 2,His,Photography,,1
978-0-321-61765-1,The Digital Photography Book Volume 3,His,Photography,,1
978-1-61593-087-6,Master Shots,His,Videography,,1
978-1-61593-055-5,Master Shots Vol 2,His,Videography,,0
978-1-61593-154-5,Master Shots Vol 3,His,Videography,,0
978-0-240-81217-5,The filmmaker’s eye,His,Videography,,1
978-0-7611-6323-7,How to Shoot Video that doesn’t suck,His,Videography,,1
978-0-7432-4626-2,The Joy of Cooking,His,Cooking,,0
978-1-55832-156-4,The Breadlover’s Bread Machine Cookbook,His,Cooking,,0
978-1-4088-1949-4,How to Bake,Hers,Cooking,,0
978-1-119-27896-2,The Leadership Challenge,His,Leadership,,1
0-7879-5678-3,The Leadership Challenge,His,Leadership,,1
978-1-4000-6428-1,Made to Stick,His,Psychology,,1
978-1-84668-480-7,Good Strategy Bad Strategy,His,Strategy,,1
978-0-06-055566-5,The Intelligent Investor,His,Finance and Investment,,1
0-679-60047-7,The Death and Life of Great American Cities,His,Economics,Urban Economics,1
978-0-06-124189-5,The Psychology of Influence,His,Psychology,,1
0-743-40885-3,The 7 Habits of Highly Effective People,His,Psychology,,1
978-0-06-089154-1,On Writing Well,His,Writing,,1
978-1-60819-301-1,Blur,His,Media,Journalism,1
978-0-307-34670-4,The Elements of Journalism,His,Media,Journalism,1
978-0-06-052199-8,The Innovator’s Dilemma,His,Innovation and Creativity,,1
978-0-307-35215-6,Quiet,His,Psychology,,1
978-0-07-183555-8,The Digital Economy,His,Economics,,1
978-0-5960-07126,Head First Design Patterns,His,Programming,,1
978-0-470-06852-6,Security Engineering,His,Computer Science,Security,0
978-0-470-47424-2,Cryptography Engineering,His,Computer Science,Security,0
978-1942788003,The DevOps Handbook,His,Computer Science,DevOps,1
978-1-491-91576-9,Using Docker,His,Programming,,1
0-201-48567-2,Refactoring,His,Programming,,1
0-13-235088-2,Clean Code,His,Computer Science,,1
978-0-13-449416-6,Clean Architecture,His,Computer Science,,1
978-1-78646-852-9,Software Architecture with Python,His,Programming,,1
978-1-491-94600-8,Fluent Python,His,Programming,,1
978-1-491-95870-4,Test-Driven Development with Python,His,Programming,,1
978-1-449-37332-0,Designing Data-Intensive Applications,His,Computer Science,Databases,1
978-0-9973160-2-5,Computer Science Distilled,His,Computer Science,,1
978-0-7356-1131-3,Code,His,Computer Science,,1
978-1-491-93998-7,Learning Unix for OS X,His,Programming,,1
978-1-491-91059-7,R Packages,His,Programming,,1
978-1-118-72796-6,Applied Predictive Analytics,His,Programming,,1
978-0-69291572-1,Two Scoops of Django 1.11,His,Programming,,1
978-1-491-91646-9,Essential SQLAlchemy,His,Programming,,1
978-1-5239-1744-0,The Devops 2.0 Toolkit,His,Programming,,1
0-7522-7222-5,Dilbert - The Joy of Work,His,Humour,,1
978-0-7407-7735-6,Dilbert 2.0 - 20 Years of Dilbert,His,Humour,,0
978-0-9784407-4-9,The Coaching Habit,His,Management,Coaching,1
978-1-47365-812-7,Coaching for Performance,His,Management,Coaching,1
978-0-9794-1636-1,Coaching Questions,His,Management,Coaching,1
978-981-08-2454-9,The Mile Hi! Club,His,Fiction,,1
1-84119-848-X,Masterpieces of Murder,His,Fiction,,0
0-688-14725-9,Notes from a Small Island,His,Fiction,,0
978-0-684-80146-9,A Farewell to Arms,His,Fiction,,0
978-1407-13209-9,Catching Fire,His,Fiction,,1
978-1407-13210-5,MockingJay,His,Fiction,,1
978-0-684-84332-2,the Complete Short Stories of Ernest Hemingway,His,Fiction,,0
0-7475-6695-X,K-Pax,His,Fiction,,1
0-451-45273-9,2001 A Space Odyssey,His,Fiction,,1
0-571-20053-2,Lord of the Flies,His,Fiction,,1
0-8423-2912-9,Left Behind,His,Fiction,,1
1-85799-722-0,Sophie’s World,His,Fiction,,1
978-0-7475-8589-3,A Thousand Splendid Suns,His,Fiction,,0
0-415-28596-8,Grimm Complete Fairy Tales,His,Fiction,,0
0-14-020072-X,A Short History of English Literature,His,Fiction,,0
1-84195-425-X,Life of Pi,His,Fiction,,1
0-679-73172-5,The Remains of the Day,His,Fiction,,0
978-0-141-03614-4,1984,Hers,Fiction,,1
0-393-95623-7,Crime and Punishment,His,Fiction,,0
978-096139211-6,Envisioning Information,His,Data Visualisation,,1
978-0-9613921-4-7,The Visual Display of Quantitative Information,His,Data Visualisation,,1
978-0970601988,Now you See It,His,Data Visualisation,,1
978-1-4665-0891-0,Visualization Analysis & Design,His,Data Visualisation,,1
978-1-59253-261-2,Design Elements - A Graphic Style Manual,His,Data Visualisation,,1
978-0-06-223652-4,The Visual Miscellaneum,His,Data Visualisation,,1
978-0-32193407-9,The Truthful Art,His,Data Visualisation,,1
978-0-321-83473-7,The Functional Art,His,Data Visualisation,,1
978-1-5063-5312-8,Presenting Data Effectively,His,Data Visualisation,,1
978-1-5063-0305-5,Effective Data Visualization,His,Data Visualisation,,1
978-1-138-19710-7,Data-Driven Storytelling,His,Data Visualisation,,1
978-0-547-97337-1,The Best American Infographics 2013,His,Data Visualisation,,1
978-0-547-97451-4,The Best American Infographics 2014,His,Data Visualisation,,1
978-0-544-54270-9,The Best American Infographics 2015,His,Data Visualisation,,1
978-0-544-55638-8,The Best American Infographics 2016,His,Data Visualisation,,1
978-1-846-14847-7,London The Information Capital,His,Data Visualisation,,1
978-1-119-28271-6,The Big Book of Dashboards,His,Data Visualisation,,1
978-0-226-53421-3,How to Lie with Maps,His,Data Visualisation,,1
978-147391214-4,Data Visualisation,His,Data Visualisation,,1
978-111928271-6,The Big Book of Dashbaords,His,Data Visualisation,,1
0-06-097625-X,Understanding Comics,His,Storytelling,,1
978-0-06-078094-4,Making Comics,His,Storytelling,,1
0-8230-0567-4,Perspective! for Comic Book Artists,His,Storytelling,,1
978-0-393-33126-4,Comics and Sequential Art,His,Storytelling,,1
978-1-59253-587-3,Universal Principles of Design,His,Design,,0
978-0-06-176608-4,Change by Design,His,Design,,1
978-0-465-05065-9,The Design of Everyday Things,His,Design,,1
0-321-34475-8,Don’t Make Me Think!,His,Design,,1
978-0-520-24226-5,Visual Thinking,His,Design,,1
978-1-59184-306-1,The Back of the Napkin,His,Design,,1
978-0-470-63201-7,Resonate,His,Design,,1
978-0-321-52565-9,Presentation Zen,His,Design,,1
978-0-321-66879-0,Presentation Zen Design,His,Design,,1
978-0-596-52234-6,Slideology,His,Design,,1
978-1-770-46114-7,Co-Mix,His,Storytelling,,1
978-0470-87641-1,Business Model Generation,His,Innovation and Creativity,,1
978-1-118-47165-4,Visual Leaders,His,Innovation and Creativity,,1
978-1-118-07743-6,Visual Teams,His,Innovation and Creativity,,1
978-0-470-60178-5,Visual Meetings,His,Innovation and Creativity,,1
978-118-15631-5,Business Model You,His,Innovation and Creativity,,1
978-1-118-74024-8,The 4 Lenses of Innovation,His,Innovation and Creativity,,1
978-1-119-07631-5,Trend Driven Innovation,His,Innovation and Creativity,,1
978-0-470-92222-4,Disciplined Dreaming,His,Innovation and Creativity,,1
978-1-4426-4130-3,Artistry Unleashed,His,Innovation and Creativity,,1
978-1-59184-401-3,The Accidental Creative,His,Innovation and Creativity,,1
978-1-932907-92-6,"So, you’re a creative genius",His,Innovation and Creativity,,1
0-06-090325-2,Lateral Thinking,His,Innovation and Creativity,,1
0-14-029666-2,Six Thinking Hats,His,Innovation and Creativity,,1
0-14-025839-6,Simplicity,His,Innovation and Creativity,,1
0-06-039168-5,Story,His,Storytelling,,1
978-0-465-07807-3,The Story Factor,His,Storytelling,,1
978-0-7879-7675-0,The Leader’s Guide to Storytelling,His,Storytelling,,1
978-0-8144-2030-0,Lead with a Story,His,Storytelling,,1
978-0-7356-2387-3,Beyond Bullet Points,His,Storytelling,,1
0-13-187510-8,Presenting to Win,His,Storytelling,,1
978-0-13-185517-5,In the Line of Fire,His,Storytelling,,1
978-1-63217-027-9,Long Story Short,His,Storytelling,,1
0-563-53731-0,The Speed Reading Book,His,Reading,,1
0-671-21209-5,How to Read a Book,His,Reading,,1
1-879505-62-2,In the Blink of an Eye,His,Videography,,1
1-932907-11-4,Stealing Fire from the Gods,His,Storytelling,,1
0-7432-0125-6,The Comedy Bible,His,Comedy,,1
978-0-06-135813-5,I Never Metaphor I Didn’t Like,His,Storytelling,,1
978-0-86547-993-7,The Anatomy of Story,His,Storytelling,,0
0-276-42030-6,How to Write and Speak Better,His,Writing,,1
0-276-42144-2,The Right Word at the Right Time,His,Writing,,1
978-9-6500-6028-2,If You Want to Write,His,Writing,,1
978-0-913507-13-1,Professors as Writers,His,Writing,,1
978-0-3854-8001-7,Bird by Bird,His,Writing,,1
0-06-272040-6,Writing to Learn,His,Writing,,1
978-0-14-051199-4,Complete Plain Words,His,Writing,,1
0-87220-552-5,A Rulebook for Arguments,His,Writing,,1
0-87220-434-0,Writing with Sources,His,Writing,,1
978-0-8144-7054-1,The Lost Art of the Great Speech,His,Writing,,1
0-226-46801-1,Metaphors We Live By,His,Storytelling,,1
978-0-226-06566-3,The Craft of Research,His,Research,,1
978-0-615-91767-2,The Complete Guide to Writing Questionnaires,His,Research,,1
978-0-76196-106-2,The Foundations of Social Research,Hers,Research,,1
978-0-674-06043-2,Method and Meaning in Polls and Surveys,His,Research,,0
978-0-415-52652-4,Ratings Analysis,His,Research,,1
978-0-7619-2075-5,Qualitative Interviewing,His,Research,,1
0-7923-7401-0,Principles of Forecasting,His,Research,,0
978-0-399-16519-1,Things we Forget,His,Inspiration,,0
978-0-718-18356-1,The Husband,Both,Humour,,1
978-0-718-18354-7,The Wife,Both,Humour,,1
978-1-4197-1667-6,The Terrible Two,Both,Humour,,1
978-0-06-199270-4,Shit My Dad Says,Both,Humour,,1
978-1-4472-3684-9,More Shit My Dad Says,Both,Humour,,1
978-4-8053-1129-5,A Geek in Japan,Both,Humour,,1
978-1-7850-3109-0,The Amazing Book is Not on Fire,Both,Humour,,1
0-930242-61-0,Futuring - The Exploration of the Future,His,Strategy,,1
978-0-470-53939-2,How to Measure Anything,His,Strategy,,1
978-0-19-871339-5,The Future of the Professions,His,Economics,,1
978-0-307-47639-5,The Next Decade,His,Strategy,,1
978-0-8041-3669-3,Superforecasting,His,Strategy,,0
978-0-19-022923-8,Strategy,His,Strategy,,0
978-0-262-52830-6,Big Ideas in Macroeconomics,His,Economics,,0
978-1-4221-0250-3,The Future of Management,His,Management,,1
978-0-06-051640-6,Built to Last,His,Management,,1
978-0-06-054878-0,In Search of Excellence,His,Management,,1
0-276-42105-1,When Where Why & How it Happened,His,History,,0
978-0-06-621064-3,"ideas - a history of thought and invention, from fire to freud",His,History,,0
978-0-00-714953-7,The Age of Wonder,His,History,,0
978-0-393-31755-8,"Guns, Germs and Steel",His,History,,0
978-0-14-200334-3,The Blank Slate,His,History,,0
978-0-14-311424-6,The Stuff of Thought,His,History,,0
978-0-14-303858-0,The Omnivore’s Dilemma,His,Sociology,Food,0
978-0-14-311496-3,In Defense of Food,His,Sociology,Food,1
978-1-58542-712-3,The Dumbest Generation,His,Sociology,Education,1
978-0-691-14689-8,The Great Brain Race,His,Sociology,Education,1
978-1-4516-4050-2,Of Dice and Men,His,Sociology,Games,1
978-0-2240-8925-8,Reality is Broken,His,Sociology,Games,1
978-1-4516-1105-2,Game Frame,His,Sociology,Games,1
978-0-7619-2275-9,Rational Choice in an Uncertain World,His,Psychology,Decision Making,1
978-1-59448-884-9,Drive,His,Psychology,Decision Making,0
978-0-316-01066-5,Blink,His,Psychology,Decision Making,1
978-1-4165-3155-5,Think,His,Psychology,Decision Making,1
978-0-141-03357-0,"Thinking, Fast and Slow",His,Psychology,Decision Making,1
978-0-19-992644-2,The Global Auction,His,Sociology,Education,1
978-0-374-29279-9,The World is Flat,His,Sociology,Education,1
0-14-30-3658-0,The End of Poverty,His,Sociology,,1
978-0-349-12025-6,Superclass,His,Sociology,,1
978-0-465-02477-3,The Rise of the Creative Class,His,Sociology,,1
0-7432-3547-9,Better Together,His,Sociology,,1
978-0-7432-0304-3,Bowling Alone,His,Sociology,,1
978-0-14-303667-8,"Marriage, a History",His,Sociology,,1
978-0-8129-7382-2,The Big Picture,His,Media,Film,1
978-1-56025-907-7,It’s News to Me,His,Media,Newspapers,1
978-1-59184-628-4,Trust Me I’m Lying,His,Media,Social Media,1
978-1-592-40508-4,The Physics of Superheroes,His,Physics,,1
0-7472-3496-5,The Universe Next Door,His,Physics,,1
0-553-17698-6,A Brief History of Time,His,Physics,,1
978-0-307-45965-7,The Invisible Gorilla,His,Psychology,,1
978-1-4165-4198-1,The Time Paradox,His,Psychology,,1
978-0-393-06632-6,How Pleasure Works,His,Psychology,,1
978-007-154383-5,Happier,His,Psychology,,1
978-0-262-02786-1,The Marketplace of Attention,His,Media,Digital Media,1
978-1-4767-6325-5,Dark Territory,His,Technology,Cybersecurity,1
978-0-8047-5237-4,Privacy in Context,His,Technology,Privacy,1
978-0-300-17233-1,Nothing to Hide,His,Technology,Privacy,1
978-0-06-196224-0,Cyberwar,His,Technology,Cybersecurity,1
978-0-19-046413-4,The Politics of Innovation,His,Technology,,1
978-1-111-34275-6,Classics of Public Administration,His,Public Policy,,0
978-0-7432-5807-4,Benjamin Franklin,His,Biography,,1
978-0-19-512441-5,Complexity - A Guided Tour,His,Physics,,1
0-674-34116-3,Game Theory,His,Economics,,0
978-1-4093-7641-5,The Economics Book,His,Economics,,0
978-007-132620-0,Labor Economics,His,Economics,,0
978-007-108668-4,Urban Economics,His,Economics,,0
978-045-228844-7,New Ideas from Dead Economists,His,Economics,,1
978-0-393-08026-1,Breakout Nations,His,Economics,,1
978-0-415-55024-6,Mapping Strategic Diversity,His,Strategy,,1
978-1-78471-555-7,Development and Modern Industrial Policy in Practice,His,Public Policy,,1
978-1-138-21651-8,Policy Analysis,His,Public Policy,,1
978-0-19-937451-9,Technological Innovation in Legacy Sectors,His,Technology,,0
978-0-141-98610-4,The Entrepreneurial State,His,Technology,,0
978-1906221-980,Geospatial Analysis,His,Urban Planning,Geospatial Analysis,1
978-1-87910-206-4,The Esri Guide to GIS Analysis,His,Urban Planning,Geospatial Analysis,1
978-0-252-03079-6,Urban Land Use Planning,His,Urban Planning,,0
978-1-59726-553-9,Community Planning,His,Urban Planning,,0
978-1-4443-3080-9,Readings in Planning Theory,His,Urban Planning,,0
978-1-4443-3081-6,Readings in Urban Theory,His,Urban Planning,,0
978-1-4051-6939-4,Geographic Thought,His,Urban Planning,,1
978-9-9716-9596-5,Future Asian Space,His,Urban Planning,,0
978-0-2625-2479-7,Cities and Complexity,His,Urban Planning,,1
978-1-59726-573-7,Cities for People,His,Urban Planning,,1
978-1-4051-4922-8,The Introductory Reader in Human Geography,His,Urban Planning,,1
978-1-59420-411-1,The Signal and the Noise,His,Data Analysis,,1
978-1-118-35685-2,Predictive Analytics,His,Data Analysis,,1
978-0-07-179966-9,Number Sense,His,Data Analysis,,1
978-0-393-33839-3,Moneyball,His,Data Analysis,,1
978-0-8129-7381-5,The Black Swan,His,Data Analysis,,1
978-0-141-03274-0,Fooled by Randomness,His,Data Analysis,,1
978-0-316-03614-6,Connected,His,Data Analysis,,1
978-0-452-28439-5,Linked,His,Data Analysis,,1
978-0-7456-3419-7,Mobilities,His,Urban Planning,,1
978-0-1431-2054-4,Triumph of the City,His,Urban Planning,,1
978-0-8166-3877-2,Space and Place,His,Urban Planning,,1
978-0-631-23252-0,Cities of Tomorrow,His,Urban Planning,,0
978-1-84407-245-3,The Art of City Making,His,Urban Planning,,0
978-1-592-40779-8,On the Map,His,Data Visualisation,,1
978-0-06-143139-5,How the States Got Their Shapes,His,History,,1
0-07-146643-5,Crimes Against Logic,His,Philosophy and Logic,Logic,1
978-0-415-40400-6,101 Ethical Dilemmas,His,Philosophy and Logic,Logic,1
978-0-452-29541-4,The Duck that Won the Lottery,His,Philosophy and Logic,Logic,1
978-1-86207-855-0,The Pig that Wants to be Eaten,His,Philosophy and Logic,Logic,1
978-0-521-14550-3,Good Thinking,His,Philosophy and Logic,Logic,1
978-0-415-42083-9,Paradoxes from A to Z,His,Philosophy and Logic,Logic,1
0-7472-3268-7,The Philosophy Gym,His,Philosophy and Logic,Logic,1
978-0-1410-3785-1,The Idea of Justice,His,Philosophy and Logic,,1
978-0-374-18065-2,Justice,His,Philosophy and Logic,,1
978-1-473-66748-8,The Art of the Good Life,His,Philosophy and Logic,,1
978-1-59184-362-7,The Price of Everything,His,Economics,,1
978-0-374-20303-0,What Money Can’t Buy,His,Economics,,1
978-1-84739-525-2,The Armchair Economist,His,Economics,,0
978-1-84739-916-8,The Big Questions,His,Economics,,0
978-0-7535-1966-0,The Return of the Economic Naturalist,His,Economics,,0
0-141-02580-8,Freakonomics,His,Economics,,1
978-9-8111-5804-9,This is What Inequality Looks Like,His,Sociology,,0
978-0-141-98180-2,Life 3.0,His,Technology,,0
978-1-785-03646-0,Chaos Monkeys,His,Technology,,0
978-1-4711-3880-5,The Innovators,His,Technology,,0
978-0-8070-1429-5,Man’s Search for Meaning,His,Philosophy and Logic,,1
978-1-4537-0442-4,The Communist Manifesto,His,Philosophy and Logic,,0
978-0-307-27725-1,The Pleasures and Sorrows of Work,His,Philosophy and Logic,,1
978-1-59420-223-0,Shop Class as Soulcraft,His,Philosophy and Logic,,1
978-0-19-537461-2,A Guide to the Good Life,His,Philosophy and Logic,,1
978-0-415-32773-2,Philosophy: the basics,His,Philosophy and Logic,,0
978-0-415-35629-9,Philosophy: the classics,His,Philosophy and Logic,,0
978-0-415-32505-9,History of Western Philosophy,His,Philosophy and Logic,,0
978-0-521-77501-4,An introduction to Probability and Inductive Logic,His,Philosophy and Logic,Logic,1
1-58542-192-8,Socrates Way,His,Philosophy and Logic,,1
978-0-495-50679-9,Ethics: Theory and Contemporary Issues,His,Philosophy and Logic,,1
0-7432-0766-1,"Now, Discover your Strengths",His,Psychology,Personality,1
0-395-79867-I,Personality Types,His,Psychology,Personality,1
978-1-5956-2015-6,StrengthsFinder 2.0,His,Psychology,Personality,1
978-1-6077-4010-0,What Color is your Parachute?,His,Jobhunting,,1
978-007712180-8,How to Get a Job You’ll Love,His,Jobhunting,,1
007-124763-7,Fearless Interviewing,His,Jobhunting,,1
978-1-8516-8917-0,Are You Smart Enough to Work At Google?,His,Jobhunting,,1
978-0-7879-7746-7,Leading with Questions,His,Leadership,,1
978-0-1386-2970-0,Management,His,Management,,1
0-471-29989-8,Human Resource Management,His,Management,,1
981-04-3387-5,Uncommon Sense,His,Leadership,,1
0-8144-0286-0,Supermotivation,His,Leadership,,1
1-85788-125-7,Thick Face Black Heart,His,Leadership,,0
978-1-59184-209-5,Nice Guys Can Get the Corner Office,His,Leadership,,1
978-0-7852-8837-4,The 21 Irrefutable Laws of Leadership,His,Leadership,,0
978-0-7852-8112-2,Developing the Leader Within You,His,Leadership,,1
81-7809-100-3,Developing the Leaders Around You,His,Leadership,,1
0-88730-842-2,Getting It Done,His,Leadership,,0
978-0-06-124017-1,Winning,His,Leadership,,1
978-0-671-72400-9,The Quick & Easy Way to Effective Speaking,His,Leadership,,1
0-09-181991-1,Reading People,His,Psychology,,1
978-0-978-63130-7,You Can Read Anyone,His,Psychology,,1
978-0-9593-6580-1,Body Language,His,Psychology,,1
0-316-85766-1,The New Leaders,His,Psychology,,1
978-1-57675-105-3,The New Superleadership,His,Psychology,,1
0-553-84007-X,Emotional Intelligence,His,Psychology,,1
0-957-81081-4,Why Men Don’t Listen & Women Can’t Read Maps,His,Psychology,,1
0-957-810-873,Why Men Lie & Women Cry,His,Psychology,,1
978-0-14-312027-8,Too Big To Fail,His,Finance and Investment,,1
978-0-14-311680-6,Lords of Finance,His,Finance and Investment,,1
978-0-393-33882-9,The Big Short,His,Finance and Investment,,1
0-14-01-4345-9,Liar’s Poker,His,Finance and Investment,,1
978-981-4342-33-9,OB Markers,His,Singapore,,1
1-86508-118-3,Defending the Lion City,His,Singapore,,1
0-415-30803-8,Did Singapore Have to Fall?,His,Singapore,,1
981-232-789-4,Can Asians Think?,His,Singapore,,1
978-981-09-1288-8,The Resident Tourist (Part 1),His,Singapore,,0
978-981-05-9210-3,The Great Singapore Quiz,His,Singapore,,0
978-1-57864-501-5,Poor Charlie’s Almanack,His,Finance and Investment,,0
978-0-9664461-1-1,The Essays of Warren Buffett: Lessons for Corporate America,His,Finance and Investment,,1
0-684-87174-2,The New Buffetology,His,Finance and Investment,,1
988-97769-2-8,The Winning Investment Habits of Warren Buffett & George Soros,His,Finance and Investment,,1
0-471-38198-5,Value Investing,His,Finance and Investment,,1
978-0-470-64396-9,Don’t Count on It!,His,Finance and Investment,,0
0-471-44550-9,Common Stocks and Uncommon Profits,His,Finance and Investment,,1
0-7679-2363-4,Irrational Exuberance,His,Finance and Investment,,1
978-0-19-975211-9,Sovereign Wealth Funds,His,Finance and Investment,,1
978-0-691-12832-0,Pop Finance,His,Finance and Investment,,1
978-981-06-8641-3,Personal Investments,His,Singapore,,1
9971-69-314-3,Financial Markets & institutions in Singapore,His,Singapore,,1
1-84376-052-5,Economic Growth and Development in Singapore,His,Singapore,,1
019-588767-0,The Politics of Policy-Making in Singapore,His,Singapore,,1
978-9971-69-772-3,Changing Landscapes of Singapore,Hers,Singapore,,0
981-232-172-1,Dollars & Sense,His,Singapore,,1
0-9643856-2-7,Cashflow Quadrant,His,Finance and Investment,,1
978-0-87766-738-4,Contemporary US Tax Policy,His,Finance and Investment,,0
978-0-262-69363-9,Taxing Ourselves,His,Finance and Investment,Tax,0
978-0-324-38212-9,Commercial Real Estate,His,Finance and Investment,Real Estate,0
981-204-253-9,The Next Lap,His,Singapore,,0
